Society,Murdock (1951) area,Size,Rows,Parts,Pipe_count,Seriation,Ligature,Resin,ExtraSpace,Indentation_proximal,Profile,Culm,Textile,Feathers
Chacobo,Bolivian,1,0,0,2,0,1,0,0,0,1,0,0,0
Siriono,Bolivian,2,0,0,0,0,3,0,0,0,0,0,0,0
Achuara,Caqueta,1,0,0,8,0,9,0,0,0,1,0,0,0
Coreguaje,Caqueta,0,0,0,?,0,4,0,0,0,1,0,0,0
Curripaco,Caqueta,1,0,1,3,0,4,0,0,0,1,0,0,0
Maku,Caqueta,1,0,0,4,0,4,0,0,0,1,0,0,0
Quijo,Caqueta,1,0,0,8,0,?,0,0,0,1,0,0,0
Tukano_Uaupes,Caqueta,1,0,0,8,0,4,0,0,0,1,0,0,0
Witoto,Caqueta,1,0,0,0,0,1,1,1,0,1,0,0,0
Archaeo_Arica,Chilean,1,0,0,3,0,1,0,0,0,1,0,0,0
Aymara_Chile,Chilean,1,0,1,4,0,6,0,0,0,1,0,0,0
Gambiano,Colombian,1,0,0,8,1,5,0,1,0,1,0,0,0
Ache,Eastern Lowland,1,0,0,0,?,?,0,0,0,1,0,0,0
Apinaye,Goias,1,0,0,5,0,4,0,0,0,1,0,0,1
Bororo,Goias,1,0,0,0,0,?,0,?,0,1,0,0,1
Akawaio,Guiana,0,0,0,0,0,1,0,1,0,1,0,0,0
Oyanpik,Guiana,1,0,0,1,0,1,0,0,0,1,0,0,0
Wayana,Guiana,1,0,0,1,0,1,0,0,0,1,0,0,0
Yekuana,Guiana,1,0,0,?,0,1,?,0,0,1,0,0,0
Cuna,Isthmian,1,0,2,4,5,0,0,1,0,1,0,0,0
Cashibo,Jurua-Purus,1,0,0,6,0,?,0,0,0,1,0,0,1
Conibo,Jurua-Purus,1,0,0,7,0,5,0,0,0,1,0,0,0
Jebero,Jurua-Purus,1,0,0,7,0,4,0,0,0,1,0,0,0
Piraha,Jurua-Purus,1,0,0,0,0,1,0,0,0,1,0,0,0
Wapishana,Jurua-Purus,1,0,0,2,0,1,0,1,0,1,0,0,0
Bora,Loreto,1,0,0,0,0,1,1,0,0,1,0,0,0
Huambisa,Loreto,1,0,0,1,4,1,0,0,0,1,0,0,0
Jivaro,Loreto,1,0,0,?,0,1,0,0,0,1,0,0,0
Kamsa,Loreto,1,0,0,8,0,A,0,0,0,1,0,0,0
Lamas,Loreto,1,0,0,?,0,4,0,?,0,1,0,0,0
Secoya,Loreto,1,0,0,8,1,5,0,1,0,1,0,0,0
Yagua,Loreto,1,0,0,8,0,5,0,0,0,1,0,0,0
Machiguenga,Montaña,1,0,0,1,0,1,0,1,0,2,0,0,0
Ashaninka,Montaña,1,0,0,2,0,1,0,1,0,1,0,0,0
Boca Preta,Para,1,0,0,4,0,?,?,?,0,1,0,0,1
Tupi_Rondonia,Para,1,0,0,?,0,1,0,0,0,1,0,0,0
Aguano,Peruvian,1,0,0,7,0,4,0,0,0,1,0,0,0
Archaeo_Ancon,Peruvian,1,0,0,4,0,4,0,-,0,1,0,0,0
Archaeo_Chancay,Peruvian,1,1,0,5,0,8,0,0,0,1,0,0,0
Archaeo_Nasca,Peruvian,?,1,0,?,0,2,0,?,0,1,0,?,0
Archaeo_NorteChico,Peruvian,1,1,0,?,0,?,0,0,0,1,0,0,0
Archaeo_Paracas,Peruvian,1,1,0,3,0,2,0,0,0,1,0,0,0
Archaeo_Peru,Peruvian,1,1,0,1,0,7,0,0,0,1,0,0,0
Archaeo_Wari,Peruvian,1,0,0,8,0,7,1,0,0,1,0,2,0
Aymara_Bolivia,Peruvian,1,0,1,4,0,6,0,0,0,1,0,1,0
Aymara_LaPaz,Peruvian,1,1,1,4,0,6,0,0,0,1,0,1,0
Bolivia_Oruro,Peruvian,1,1,1,8,0,4,0,0,0,1,0,1,0
Bolivia_unknown,Peruvian,1,2,1,4,0,6,0,0,0,1,0,0,0
Cajamarca,Peruvian,1,0,0,4,1,5,0,1,0,1,0,0,0
Quechua_CentralAndes_Bolivia,Peruvian,1,0,1,1,0,6,0,0,0,1,0,0,0
Quechua_CentralAndes_Peru,Peruvian,1,0,0,4,0,6,0,0,0,1,0,0,0
Quechua_NorthAndes,Peruvian,1,0,0,8,1,5,0,1,0,1,0,0,0
Titicaca_Basin,Peruvian,1,?,0,4,0,6,0,0,0,1,0,0,0
Guahibo,Savanna,2,0,1,2,0,2,0,0,0,1,0,0,0
Aripaktsa,Xingu,1,0,0,3,0,1,0,1,0,1,0,0,0
Kalapalo,Xingu,1,0,0,1,0,1,0,0,0,1,0,1,0
Kuikuru,Xingu,1,0,0,1,0,1,0,0,0,1,0,0,0
Mehinacu,Xingu,1,0,0,?,?,1,0,0,0,1,0,0,0
Nambiquara,Xingu,1,0,0,2,0,?,0,0,?,1,0,0,0
Txicao,Xingu,1,0,0,1,0,1,0,0,0,1,0,1,0
Waura,Xingu,1,0,0,2,0,?,0,0,0,1,0,?,0